retina,id,i,j,unit_num,ntrials,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 4)_3",2,4,3,18,0,1,0,1,0,0,0,0,0,1,39,56,35,19,5,8,52,14,1,0,3,1,2,0,1,2,3,0,2,0,0,0,0,0,1.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 4)_0",2,4,0,18,0,0,0,0,0,0,0,0,0,0,60,94,40,14,7,17,67,18,8,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 4)_2",2,4,2,18,2,0,0,0,0,0,1,0,0,0,28,58,16,11,1,11,57,24,4,3,3,2,2,1,2,1,0,4,1,1,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 4)_4",2,4,4,18,0,0,0,0,0,0,0,0,0,0,21,13,12,4,0,2,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 4)_1",2,4,1,18,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 4)_2",1,4,2,18,2,5,5,5,6,5,5,4,5,4,9,10,6,2,2,7,30,24,8,4,5,5,6,6,5,1,4,4,5,3,5,1,3,2,6.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 4)_5",1,4,5,18,5,3,4,1,1,5,3,3,4,2,42,77,33,8,5,11,81,41,15,10,7,2,2,4,1,1,2,2,1,1,2,3,3,2,2.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 4)_1",1,4,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 4)_0",1,4,0,18,0,0,0,0,0,0,0,2,0,0,7,28,8,2,1,4,19,20,5,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 4)_3",1,4,3,18,0,0,0,0,0,0,0,0,0,0,14,33,5,1,0,5,25,8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 4)_4",1,4,4,18,0,0,0,0,0,0,0,0,0,0,5,6,4,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 4)_0",0,4,0,18,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 3)_2",0,3,2,18,0,0,1,0,2,0,1,0,0,2,53,91,41,18,9,14,34,1,2,0,1,1,5,2,2,2,3,0,1,1,1,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 3)_5",0,3,5,18,0,0,1,0,0,0,1,0,0,1,39,76,46,24,16,29,55,11,7,3,8,6,6,1,5,2,1,1,0,0,1,2,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 3)_4",0,3,4,18,0,0,1,0,0,0,0,0,0,0,7,6,2,3,1,5,19,21,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 3)_3",0,3,3,18,0,0,1,1,0,0,0,0,0,0,13,21,9,4,1,7,19,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 3)_1",0,3,1,18,0,0,0,0,0,0,0,0,0,0,16,20,10,0,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 3)_0",0,3,0,18,0,0,0,0,0,0,0,0,0,0,3,0,8,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 3)_0",1,3,0,18,3,5,3,3,1,3,3,4,1,3,6,0,0,0,1,13,19,2,2,4,6,3,6,5,3,3,3,3,3,2,4,3,5,3,3.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 3)_4",1,3,4,18,3,2,3,4,0,0,2,2,2,0,3,0,0,0,0,35,171,96,60,23,10,4,2,1,1,1,1,2,1,2,1,1,0,2,3.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 3)_2",1,3,2,18,0,0,0,0,0,0,0,0,0,1,58,45,15,2,7,16,48,34,32,5,2,1,0,1,1,0,1,0,0,0,0,2,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 3)_1",1,3,1,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 3)_3",1,3,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,40,10,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 3)_0",2,3,0,18,0,0,0,0,0,0,0,0,0,0,117,158,106,79,53,41,46,9,22,9,3,3,4,6,0,4,0,1,0,0,0,0,1,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 3)_3",2,3,3,18,0,0,0,0,0,0,0,0,0,0,33,33,14,2,3,5,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 3)_4",2,3,4,18,0,0,0,0,0,0,0,0,0,0,18,19,14,9,6,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 3)_1",2,3,1,18,0,0,0,0,0,1,0,0,0,0,19,37,20,22,16,10,4,0,1,1,1,0,0,3,2,2,0,1,0,0,1,0,1,0,1.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 3)_2",2,3,2,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 2)_7",0,2,7,18,5,12,13,15,5,10,11,11,10,10,15,11,14,3,2,38,50,32,27,18,17,14,18,10,13,8,12,11,12,9,8,13,6,7,12.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 2)_6",0,2,6,18,2,0,1,1,1,2,2,0,2,1,6,7,4,2,2,3,8,3,3,1,2,2,0,2,1,0,1,1,1,1,0,4,1,3,2.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 2)_5",0,2,5,18,0,0,2,0,0,0,0,0,0,0,23,23,19,2,1,6,10,4,0,0,0,6,2,4,2,0,2,0,0,1,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 2)_2",0,2,2,18,9,11,5,8,4,5,6,6,1,4,15,18,22,18,17,13,52,29,38,22,23,14,13,18,11,8,8,10,6,3,3,4,5,2,7.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 2)_1",0,2,1,18,0,0,0,0,0,1,0,0,0,0,10,5,5,7,9,6,30,10,1,3,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 2)_0",0,2,0,18,3,1,3,1,4,2,1,1,3,2,16,55,44,25,30,35,113,66,56,29,11,11,8,9,3,3,3,0,0,2,4,1,1,2,1.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 2)_4",0,2,4,18,3,0,3,1,2,1,2,1,1,1,59,67,50,35,22,18,60,26,10,7,6,3,3,4,5,3,1,3,2,1,1,4,4,0,4.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 2)_3",0,2,3,18,0,0,0,0,0,0,0,0,0,0,28,44,21,13,11,10,26,9,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 2)_4",1,2,4,18,3,3,3,1,2,2,3,5,3,1,21,24,16,13,14,18,22,12,5,5,3,4,4,3,2,4,3,6,2,0,2,2,2,2,3.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 2)_2",1,2,2,18,0,0,0,0,1,0,0,0,0,0,36,42,23,22,15,14,23,3,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 2)_5",1,2,5,18,0,0,0,0,0,0,1,0,0,0,29,87,99,101,101,49,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0
